LPSD pixel # (0-127)	LPSD pitch (mm)	Tube # (1-8)	Tube  pitch	Xoffset	Yoffset	Zoffset	Module #	Pixel ID		IDX	RADIUS	AZIMUTH	POLAR	ZROT	YROT	XROT		XTRN	YTRN	ZTRN		Location		ARCS Module No.			cz	sz	cy	sy	cx	sx	R11	R12	R13	R21	R22	R23	R31	R32	R33	Xoffset	Yoffset	Zoffset	Location	X_pixel	Y_pixel	Z_pixel				Xsci	Ysci	Zsci	Radius	Phi_sci	2Theta_sci	Zrot_sci	Yrot_sci	Xrot_sci
0	7.86	1	27.4	-95.9	499.11	0	113	114688		36	3301.086	-17.912	71.520	-107.912	0.000	90.000		2979.110	-962.916	1046.357		T36		113			-0.308	-0.952	1.000	0.000	0.000	1.000	-0.308	0.000	-0.952	-0.952	0.000	0.308	0.000	1.000	0.000	3008.605076	-871.6638158	1545.467145	T36	-871.6638158	1495.467145	3008.605076				-871.664	1495.467	3008.605	3471.011999	120.237	29.913	0.000	-197.912	0.000
0	7.86	1	27.4	-95.9	499.11	0	114	115712		37	3301.086	-21.936	71.520	-111.936	0.000	90.000		2904.194	-1169.599	1046.357		T37		114			-0.374	-0.928	1.000	0.000	0.000	1.000	-0.374	0.000	-0.928	-0.928	0.000	0.374	0.000	1.000	0.000	2940.019671	-1080.641775	1545.467145	T37	-1080.641775	1495.467145	2940.019671				-1080.642	1495.467	2940.020	3471.011999	125.852	32.111	0.000	-201.936	0.000
0	7.86	1	27.4	-95.9	499.11	0	115	116736		38	3301.086	-25.960	71.520	-115.960	0.000	90.000		2814.959	-1370.515	1046.357		T38		115			-0.438	-0.899	1.000	0.000	0.000	1.000	-0.438	0.000	-0.899	-0.899	0.000	0.438	0.000	1.000	0.000	2856.938459	-1284.291615	1545.467145	T38	-1284.291615	1495.467145	2856.938459				-1284.292	1495.467	2856.938	3471.011999	130.656	34.605	0.000	-205.960	0.000
0	7.86	1	27.4	-95.9	499.11	0	39	38912		39	2990.850	134.116	90.000	44.116	0.000	90.000		-2081.970	2147.227	0.000		M1		39			0.718	0.696	1.000	0.000	0.000	1.000	0.718	0.000	0.696	0.696	0.000	-0.718	0.000	1.000	0.000	-2150.82016	2080.469459	499.11	M1	2080.469459	449.11	-2150.82016				2080.469	449.110	-2150.820	3025.901572	12.181	135.300	0.000	-45.884	0.000
0	7.86	1	27.4	-95.9	499.11	0	40	39936		40	2990.850	129.904	90.000	39.904	0.000	90.000		-1918.640	2294.342	0.000		M2		40			0.767	0.642	1.000	0.000	0.000	1.000	0.767	0.000	0.642	0.642	0.000	-0.767	0.000	1.000	0.000	-1992.206654	2232.821798	499.11	M2	2232.821798	449.11	-1992.206654				2232.822	449.110	-1992.207	3025.901572	11.373	131.177	0.000	-50.096	0.000
0	7.86	1	27.4	-95.9	499.11	0	41	40960		41	2990.850	125.692	90.000	35.692	0.000	90.000		-1744.945	2429.064	0.000		M3		41			0.812	0.583	1.000	0.000	0.000	1.000	0.812	0.000	0.583	0.583	0.000	-0.812	0.000	1.000	0.000	-1822.831711	2373.112953	499.11	M3	2373.112953	449.11	-1822.831711				2373.113	449.110	-1822.832	3025.901572	10.716	127.043	0.000	-54.308	0.000
0	7.86	1	27.4	-95.9	499.11	0	42	41984		42	2990.850	121.480	90.000	31.480	0.000	90.000		-1561.825	2550.664	0.000		M4		42			0.853	0.522	1.000	0.000	0.000	1.000	0.853	0.000	0.522	0.522	0.000	-0.853	0.000	1.000	0.000	-1643.610255	2500.585104	499.11	M4	2500.585104	449.11	-1643.610255				2500.585	449.110	-1643.610	3025.901572	10.182	122.900	0.000	-58.520	0.000
0	7.86	1	27.4	-95.9	499.11	0	43	43008		43	2990.850	117.268	90.000	27.268	0.000	90.000		-1370.267	2658.487	0.000		M5		43			0.889	0.458	1.000	0.000	0.000	1.000	0.889	0.000	0.458	0.458	0.000	-0.889	0.000	1.000	0.000	-1455.5104	2614.549676	499.11	M5	2614.549676	449.11	-1455.5104				2614.550	449.110	-1455.510	3025.901572	9.747	118.752	0.000	-62.732	0.000
0	7.86	1	27.4	-95.9	499.11	0	44	44032		44	2990.850	113.056	90.000	23.056	0.000	90.000		-1171.308	2751.948	0.000		M6		44			0.920	0.392	1.000	0.000	0.000	1.000	0.920	0.000	0.392	0.392	0.000	-0.920	0.000	1.000	0.000	-1259.548216	2714.39106	499.11	M6	2714.39106	449.11	-1259.548216				2714.391	449.110	-1259.548	3025.901572	9.395	114.598	0.000	-66.944	0.000
0	7.86	1	27.4	-95.9	499.11	0	45	45056		45	2990.850	108.844	90.000	18.844	0.000	90.000		-966.022	2830.545	0.000		M7		45			0.946	0.323	1.000	0.000	0.000	1.000	0.946	0.000	0.323	0.323	0.000	-0.946	0.000	1.000	0.000	-1056.782245	2799.569935	499.11	M7	2799.569935	449.11	-1056.782245				2799.570	449.110	-1056.782	3025.901572	9.114	110.441	0.000	-71.156	0.000
